frame,time_s,role,speed_mps,cumulative_distance_m,rally_distance_m,max_speed_so_far_mps
191,9.095238,near,3.591000,26.280000,26.280000,3.591000
191,9.095238,far,1.069000,16.211000,16.211000,1.069000
192,9.142857,near,2.731000,26.280000,26.280000,2.731000
192,9.142857,far,0.540000,16.229000,16.229000,0.540000
193,9.190476,near,3.708000,26.667000,26.667000,3.708000
193,9.190476,far,0.580000,16.289000,16.289000,0.580000
194,9.238095,near,2.425000,26.667000,26.667000,2.425000
194,9.238095,far,0.397000,16.289000,16.289000,0.397000
195,9.285714,near,2.801000,26.847000,26.847000,2.801000
195,9.285714,far,0.334000,16.289000,16.289000,0.334000
196,9.333333,near,2.561000,27.012000,27.012000,2.561000
196,9.333333,far,0.334000,16.289000,16.289000,0.334000
197,9.380952,near,2.952000,27.123000,27.123000,2.952000
197,9.380952,far,0.272000,16.289000,16.289000,0.272000
198,9.428571,near,2.952000,27.123000,27.123000,2.952000
198,9.428571,far,0.209000,16.289000,16.289000,0.209000
199,9.476190,near,1.643000,27.137000,27.137000,1.643000
199,9.476190,far,0.000000,16.289000,16.289000,0.000000
200,9.523810,near,2.021000,27.245000,27.245000,2.021000
200,9.523810,far,0.000000,16.289000,16.289000,0.000000
201,9.571429,near,1.970000,27.410000,27.410000,1.970000
201,9.571429,far,0.000000,16.289000,16.289000,0.000000
202,9.619048,near,1.396000,27.410000,27.410000,1.396000
202,9.619048,far,0.000000,16.289000,16.289000,0.000000
203,9.666667,near,2.062000,27.713000,27.713000,2.062000
203,9.666667,far,0.000000,16.289000,16.289000,0.000000
204,9.714286,near,2.709000,27.897000,27.897000,2.709000
204,9.714286,far,0.000000,16.289000,16.289000,0.000000
205,9.761905,near,3.308000,28.082000,28.082000,3.308000
205,9.761905,far,0.000000,16.289000,16.289000,0.000000
206,9.809524,near,3.706000,28.304000,28.304000,3.706000
206,9.809524,far,0.000000,16.289000,16.289000,0.000000
207,9.857143,near,4.256000,28.626000,28.626000,4.256000
207,9.857143,far,0.000000,16.289000,16.289000,0.000000
208,9.904762,near,4.831000,28.791000,28.791000,4.831000
208,9.904762,far,0.000000,16.289000,16.289000,0.000000
209,9.952381,near,4.123000,28.891000,28.891000,4.123000
209,9.952381,far,0.000000,16.289000,16.289000,0.000000
210,10.000000,near,3.718000,28.960000,28.960000,3.718000
210,10.000000,far,0.000000,16.289000,16.289000,0.000000
211,10.047619,near,3.190000,28.993000,28.993000,3.190000
211,10.047619,far,0.000000,16.289000,16.289000,0.000000
212,10.095238,near,2.539000,29.029000,29.029000,2.539000
212,10.095238,far,0.000000,16.289000,16.289000,0.000000
213,10.142857,near,1.765000,29.131000,29.131000,1.765000
213,10.142857,far,0.000000,16.289000,16.289000,0.000000
214,10.190476,near,1.434000,29.200000,29.200000,1.434000
214,10.190476,far,0.000000,16.289000,16.289000,0.000000
215,10.238095,near,1.559000,29.336000,29.336000,1.559000
215,10.238095,far,0.000000,16.289000,16.289000,0.000000
216,10.285714,near,1.806000,29.476000,29.476000,1.806000
